seed,n_candidates,n_sampled,n_predicted_glitch_by_svm,TP,FP,FN,precision,recall,f1,time_seconds,paper_claims
0,31743,3174,1316,1054,3,1498,0.9971617786187322,0.41300940438871475,0.5840953172623996,221.5056889000116,"{'precision': 1.0, 'recall_avg': 0.6447, 'f1_avg': 0.7835}"
1,31743,3174,1244,976,4,1576,0.9959183673469387,0.3824451410658307,0.5526613816534541,221.7129216999747,"{'precision': 1.0, 'recall_avg': 0.6447, 'f1_avg': 0.7835}"
2,31743,3174,1260,1063,1,1489,0.9990601503759399,0.41653605015673983,0.5879424778761062,228.6687632999965,"{'precision': 1.0, 'recall_avg': 0.6447, 'f1_avg': 0.7835}"
