seed,n_candidates,n_sampled,n_predicted_glitch_by_svm,TP,FP,FN,precision,recall,f1,time_seconds,paper_claims
0,31743,3174,163,172,1,816,0.9942196531791907,0.17408906882591094,0.29629629629629634,209.3022154000064,"{'precision': 1.0, 'recall_avg': 0.6447, 'f1_avg': 0.7835}"
1,31743,3174,444,331,0,657,1.0,0.3350202429149798,0.5018953752843063,212.33258090002346,"{'precision': 1.0, 'recall_avg': 0.6447, 'f1_avg': 0.7835}"
2,31743,3174,440,324,1,664,0.9969230769230769,0.32793522267206476,0.49352627570449353,212.5035465999972,"{'precision': 1.0, 'recall_avg': 0.6447, 'f1_avg': 0.7835}"
